api 25nM-LYVACKO1,api 25nM-LYVACKO2,api 25nM-WT,nontreated-LYVACKO1,nontreated-LYVACKO2,nontreated-WT,
0.015746850629874024,0.009607005021371955,0.0014653125157900056,0.010160824742268041,0.00042002005257025176,0.0,
0.019678634775033847,0.010963773929183773,0.027240011557960544,0.0003636069812540401,0.0,0.0,
0.005583043594543996,0.011677802979219028,0.03619377590793788,0.0,0.0,0.0,
0.0,0.023071298557849375,0.042560443071679624,0.0,0.0012820293670193672,0.003444316877152698,
0.008311795112781954,0.0,0.008738179517433609,0.00154327792230698,0.0,0.0058426443202979515,
0.008532458421030911,0.013836382882201724,0.03605072727537456,0.0,0.0007038371846512614,0.0,
0.029095313567075134,0.01772765946639237,0.01246425691033067,0.0,0.0,0.0010735309731381315,
0.016897731033721913,0.0,0.04409593649410683,0.0,0.0,0.0025535554800810096,
0.015743080247407594,0.007877218934911242,0.006894218161823795,0.0030496181108852134,0.0034014066374859404,0.0004622567373919475,
0.03246580547112462,0.019231664726426078,0.034928389905636216,0.0008020364752240472,0.0010905594857151058,0.02254733920992491,
0.026038975800285188,0.009691400832177531,0.04828701803520124,0.024822173166544028,0.00025475034466223103,0.0006365839923609921,
0.013153667979779194,0.009268214055448098,0.049109248983443037,0.0,0.0,0.0018605247963046129,
0.0,0.002498158871352038,0.06418324435563244,0.00571784627790199,0.001044311377245509,0.0,
0.019835493634620272,0.009086403436312573,0.024889304474574405,0.0011848224247390923,0.0,0.0,
0.014824926192819275,0.03242609521548142,0.0718221300317625,0.0007640210818020538,0.0,0.0004176424086034336,
0.011395387630843655,0.020141637158925224,0.049026802633164286,0.0004281945384477257,0.0,0.024909335820122266,
0.015939813803918453,0.022005559299191374,0.015476577989524457,0.001797698945349952,0.003163206909109828,0.0,
0.021716984071814664,0.007355896776268188,0.07817750543585689,0.0004344601038465614,0.0,0.0019090120242965167,
0.007650991151126396,0.018611968294306287,0.04481198756007916,0.0029287644607745252,0.0021133122539846423,0.0014615958240119314,
0.02019985167258675,0.01444690305945175,0.013000881415689199,0.002682483383505708,0.0,0.0,
0.005320358328407076,0.0030898306231534316,0.013313367182198929,0.0010405285885229697,0.0030822147276260248,0.0033575456999275824,
0.015428224336910306,0.010940304330862271,0.041091090416571205,0.0,0.0,0.0011200884123120118,
0.017896104825152314,0.016459140760286962,0.04584285133147667,0.0,0.0008175500749420902,0.03292588921924898,
0.013087454723557419,0.02055296675986331,0.05495736066844689,0.00013709585285045129,0.001469943523222529,0.0,
0.01690421537749782,0.005135163344118568,0.046831202570588634,0.0,0.0,0.0018942425697668214,
0.013341302321812068,0.01713768296532589,0.047840272835909074,0.023639557181301063,0.0,0.0,
0.015596484353132172,0.0,0.0488992122803474,0.0,0.0002874094147112562,0.008402407176109912,
0.010183489667027916,0.00713861496757046,0.035761090489605976,0.0,0.0007788920260928828,0.0,
0.027747871195067046,0.0,0.05438785520158242,0.0007809504877390773,0.000676056338028169,0.0,
0.0025668364727717886,0.010643557557612548,0.02022642357502037,0.00020166791226259535,0.0,0.0,
0.017175862593099254,0.020868744098205855,0.08723634741604537,0.00037270868863012614,0.004581026913533117,0.0,
0.014239275671579283,0.0032492440994629722,0.023673622157761767,0.004766444232602479,0.0012037557178396598,0.0,
0.005816347539633519,0.01322887835999437,0.06556926669566611,0.0016142327242753126,0.001022038438043325,0.0,
0.011840203862827664,0.008715550442654929,0.05250212846466749,0.002110000093362836,0.0,0.0,
0.0,0.0031532906113315023,0.052565185828701996,0.014434664151734255,0.0,0.006808858324680409,
0.021710654302574413,0.018966889898374934,0.04256112800044762,0.002091019673680295,0.0,0.0030635038825656846,
0.02039460082110051,0.009429819492916078,0.06945097137372142,0.000963914306660512,0.0,0.0,
0.023947707820377535,0.006197409124022087,0.06819726772361467,0.0032164165902767725,0.0,0.0,
0.004794615278225992,0.010886485496556004,0.006955070246209487,0.0031551121343907224,0.0,0.0,
0.018929653315382027,0.006983633144124315,0.03496887911620237,0.0,0.0,0.0,
0.009472638486616575,0.014191761855313257,0.052406417112299465,0.010594270892932066,0.0,0.01701908200103146,
0.007864512877642503,0.021331119243109157,0.07632626533430822,0.001139457497226984,0.0,0.0006895600606812854,
0.0026678706287965853,0.00785289969656823,0.025109284840006994,0.00032299089569412764,0.0,0.0020843583665071342,
0.0008873472351066834,0.013080168776371307,0.0016939582156973462,0.0034259389177306956,0.0013217301798956651,0.0,
0.0,0.023453587569866017,0.08282818640319475,0.0012261006168818728,0.0,0.0,
0.017157167101287306,0.012275279676141558,0.010599581475752889,0.0021968235119489386,0.0,0.005160285977859779,
